Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo_Error	Zr	Zr_Error	Sr	Sr_Error	U	U_Error	Rb	Rb_Error	Th	Th_Error	Pb	Pb_Error	Au	Au_Error	Se	Se_Error	As	As_Error	Hg	Hg_Error	Zn	Zn_Error	W	W_Error	Cu	Cu_Error	Ni	Ni_Error	Co	Co_Error	Fe	Fe_Error	Mn	Mn_Error	Cr	Cr_Error	V	V_Error	Ti	Ti_Error	Sc	Sc_Error	Ca	Ca_Error	K	K_Error	S	S_Error	Nd	Nd_Error	Pr	Pr_Error	Ce	Ce_Error	La	La_Error	Ba	Ba_Error	Sb	Sb_Error	Sn	Sn_Error	Cd	Cd_Error	Pd	Pd_Error	Ag	Ag_Error	Bal	Bal_Error	Nb	Nb_Error	Y	Y_Error	Bi	Bi_Error	Re	Re_Error	Ta	Ta_Error	Hf	Hf_Error	Al	Al_Error	P	P_Error	Si	Si_Error	Cl	Cl_Error	Mg	Mg_Error	MgO	MgO_Error	Al2O3	Al2O3_Error	SiO2	SiO2_Error	P2O5	P2O5_Error	K2O	K2O_Error	CaO	CaO_Error	TiO2	TiO2_Error	MnO	MnO_Error	Fe2O3	Fe2O3_Error	Cs	Cs_Error	Te	Te_Error
399	399	43791.48611	TestAll Geo	120.42	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					12.33	2.61	382.69	5.61	103.42	3.05	26.41	5.55	82.04	2.38	43.1	4.16	45.89	5.24	<LOD	6.99	<LOD	2.41	106.08	6.54	13.71	7.39	48.65	8.06	333.16	37.5	282.67	19.18	101.16	22.7	<LOD	88.78	40440.51	505.8	485.26	49.51	31.91	10.45	86.1	23.45	4204.18	85.51	34.86	21.23	6394.38	141.63	30556.29	1170.96	2313.24	94.31	479.79	72.89	311.07	50.86	216.79	41.46	232.74	40.18	516.85	21.54	44.19	8.34	30.78	7.14	14.8	5.22	5.47	2.66	<LOD	4.53	522706.22	2068.6	10.88	1.83	2.41	1	<LOD	28.29	<LOD	1.5	<LOD	1.5	<LOD	1.5	79144.9	2308.59	1435.18	250.81	311657.97	4111.37	1170.07	53.4	<LOD	8002.92	<LOD	0	149583.86	0	666948.06	0	3286.56	0	36973.11	0	8952.13	0	7020.97	0	625.99	0	57829.93	0	155.09	10.59	53.49	9.5
422	422	43791.57917	TestAll Geo	121.22	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					11.45	2.86	375.34	6.15	102.87	3.36	29.08	6.15	81.37	2.61	39.32	4.48	54.41	6.55	11.1	5.33	<LOD	4.07	99.39	7.11	<LOD	12.15	42.23	8.75	326.32	41.92	288.08	21.35	120.75	24.89	<LOD	97.63	40659.46	556.91	467.4	54.26	27.37	10.44	103.42	23.79	4222.7	85.79	<LOD	31.69	6544.93	143.15	24601.79	921.78	1806.29	72.75	374.6	56.08	213.97	38.99	156.57	31.84	185.58	31.07	521.57	20.99	36.12	8.02	36.84	7.01	14.14	5.06	4.93	2.57	<LOD	4.21	581083.5	2100.03	11.82	2.04	2.43	1	<LOD	23.47	<LOD	1.5	<LOD	1.5	<LOD	1.5	66884.8	1657.06	1322.57	207.75	268674.13	2796.72	919.75	42.02	<LOD	3988.5	5193.98	0	126412.27	0	574962.63	0	3028.69	0	29768.17	0	9162.91	0	7051.9	0	602.95	0	58143.03	0	149.78	10.28	57.11	9.28
445	445	43791.64861	TestAll Geo	121.79	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					14.44	2.84	399.05	6.12	103.03	3.26	28.85	5.97	80.81	2.52	42.43	4.45	48.5	5.73	<LOD	7.46	<LOD	2.95	103.36	7.01	<LOD	11.83	41.12	8.41	374.73	40.67	299.56	20.9	102.91	24.24	<LOD	94.81	40742.86	534.22	454.12	52.49	25.68	10.23	107.1	23.36	4262.88	84.38	<LOD	31.3	6473.76	140.56	30484.72	1118.97	2219.17	89.88	576.45	70.92	304.42	48.85	185.22	39.51	234.94	38.64	504.64	21.05	43.68	8.18	40.74	7.12	16	5.14	3.9	2.56	<LOD	4.25	515900.28	2236.13	12.19	1.99	2.72	1	<LOD	24.51	<LOD	1.5	<LOD	1.5	<LOD	1.5	82118.59	2060.95	1595.38	251.67	312569.38	3573.65	1114.59	51.55	<LOD	4523.58	<LOD	0	155204.14	0	668898.5	0	3653.42	0	36886.52	0	9063.27	0	7119	0	585.81	0	58262.29	0	148.54	10.35	49.23	9.27
468	468	43791.70694	TestAll Geo	121.71	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					9.87	2.65	378.03	5.73	103.98	3.14	28.17	5.68	79.87	2.41	38.06	4.12	52.77	6.06	<LOD	7.13	<LOD	3.73	101.88	6.64	<LOD	11.26	49.82	8.34	359.16	38.95	291.9	19.92	105.59	23.27	<LOD	90.65	40724.95	518.5	475.37	50.69	32.2	10.72	97.41	24.24	4138.5	87.6	<LOD	32.45	6302.41	144.8	29826.63	1204.71	<LOD	267.69	436.96	69.63	303.97	48.79	175.4	39.37	199.14	38.42	500.15	20.76	48	8.13	30.15	6.9	14.7	5.05	<LOD	3.77	<LOD	4.23	515216.09	2153.6	11.22	1.88	2.41	1	<LOD	17.26	<LOD	1.5	<LOD	1.5	<LOD	1.5	83302.02	2306.63	1414.46	243.82	315756.84	4287.23	1128.77	51.66	<LOD	7504.28	<LOD	0	157440.83	0	675719.69	0	3239.1	0	36090.22	0	8823.37	0	6911.3	0	613.22	0	58236.68	0	148.31	10.23	57.91	9.25
511	511	43794.44375	TestAll Geo	123.65	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	silica					17.7	2.69	382.48	5.68	103.75	3.09	13.12	5.28	80.71	2.37	45.27	4.28	46.73	5.35	9.14	4.81	<LOD	3.11	105.23	6.62	<LOD	10.9	44.21	7.99	341.28	38.09	288.97	19.49	96.53	22.87	<LOD	90.46	40898.49	507.71	457.36	49.66	40.51	10.79	100.76	24.32	4280.71	87.65	<LOD	31.9	6385.57	142.28	29923.72	1126.52	2156.97	83.3	450.22	69.6	292.32	48.6	173.95	39.28	226.34	38.49	476.51	20.46	41.4	7.97	36.57	6.94	<LOD	7.29	<LOD	3.71	<LOD	4.25	521930.5	2097.21	12.22	1.86	2.48	1	<LOD	18.07	<LOD	1.5	<LOD	1.5	<LOD	1.5	80467.83	1940.76	590.2	227.85	306379.44	3156.09	1077.96	47.75	<LOD	4470.17	5242.88	0	152084.19	0	655652	0	1351.57	0	36207.7	0	8939.8	0	7148.79	0	589.99	0	58484.84	0	145.9	10.14	48.17	9.08
540	540	43797.62431	TestAll Geo	122.29	ppm	2	Final	-3mm 	padrao	cprm	kotaro	ill					14.22	2.67	397.33	5.77	103.6	3.09	16.82	5.38	81.33	2.38	44.11	4.25	54.71	6.08	8.66	4.84	4.44	2.61	110.94	6.76	13.05	7.33	41.99	7.89	359.1	38.7	289.08	19.53	93.69	22.77	<LOD	89.57	40589.19	505.14	453.07	49.4	30.09	10.45	89.68	23.91	4186.04	86.53	<LOD	31.46	6429.02	141.86	30654.87	1198.47	2330.38	92.53	434.35	70.97	305.29	49.75	172.03	40.11	199.56	39.17	505.47	21.16	36.57	8.12	33.63	7.08	7.61	5.01	5.59	2.62	<LOD	4.43	514423.25	2123.44	12.76	1.86	2.42	1	21.83	12	<LOD	1.5	<LOD	1.5	<LOD	1.5	84319.13	2062.41	1264.4	243.11	315103.91	4220.39	1033.07	50.32	<LOD	4265.96	<LOD	0	159363.16	0	674322.38	0	2895.47	0	37092.39	0	9000.63	0	6990.68	0	584.46	0	58042.54	0	150.84	10.42	59.79	9.43
563	563	43797.70139	TestAll Geo	122.93	ppm	2	Final	-3mm 	padrao	cprm	kotaro	ill					16.31	2.7	382.65	5.73	105.13	3.13	12	5.31	81.48	2.4	44.01	4.29	52.75	5.6	9.21	4.79	<LOD	3.68	102.86	6.74	<LOD	11.06	39.48	7.9	341.59	38.27	286.8	19.64	101.93	23.25	<LOD	90.89	40215.56	509.55	460.94	49.8	32.38	10.19	96.28	23.14	4101.58	83.49	31.04	20.46	6201.74	136.6	29359.51	1099.57	2358.78	92.05	528.67	74.96	332.7	52.16	213.66	42.35	228.8	41.05	497.54	21.78	41.05	8.45	35.67	7.32	16.52	5.34	<LOD	3.93	<LOD	4.46	518224.09	2126.14	13.39	1.89	2.44	1	23.03	12.01	<LOD	1.5	<LOD	1.5	<LOD	1.5	82075.41	2054.46	753.77	246.21	313133.28	3337.15	1090.44	51.16	<LOD	4545.14	<LOD	0	155122.52	0	670105.25	0	1726.14	0	35525	0	8682.44	0	6849.63	0	594.61	0	57508.25	0	147.18	10.73	53.57	9.66
575	575	43797.72986	TestAll Geo	123.55	ppm	2	Final	-3mm 	padrao	cprm	kotaro	ill					16.65	2.69	380.13	5.69	103.85	3.1	14.67	5.35	80.82	2.39	45.43	4.3	48.87	5.46	8.18	4.79	<LOD	4.52	100.27	6.6	<LOD	11.08	44.83	8.05	321.94	37.86	290.61	19.66	97.88	23.13	<LOD	91.08	40487.44	508.86	463.68	49.79	33.18	10.63	91.02	24.29	4273.81	87.87	<LOD	31.92	6592.65	143.9	30855.63	1199.37	2224.88	88.56	450.28	70.71	278.49	49.28	188.32	40.07	197.73	38.94	509.35	21.02	40.69	8.12	34.94	7.03	13.33	5.07	5.62	2.6	<LOD	4.33	521621.09	2106.55	10.6	1.85	2.47	1	<LOD	18.22	<LOD	1.5	<LOD	1.5	<LOD	1.5	81520.77	1979.82	862.91	231.95	311095.41	4222.4	1033.85	48.96	<LOD	4157.35	<LOD	0	154074.27	0	665744.19	0	1976.06	0	37335.31	0	9229.71	0	7137.27	0	598.15	0	57897.04	0	146.15	10.31	57.38	9.33
626	626	43804.71389	TestAll Geo	122.36	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					16.04	2.64	351.81	5.44	102.38	3.05	27.37	5.49	76.76	2.31	41.56	4.13	56.68	6.09	<LOD	6.96	4.05	2.54	97.54	6.5	14.38	7.3	41.01	7.79	355.4	37.69	285.98	19.38	83.7	22.47	<LOD	87.93	39626.9	508.92	447.82	49.04	33.6	9.99	88.92	22.28	3857.95	80.45	35.31	19.96	5904.78	132.48	29156.35	1153.48	2277.78	94.75	465.73	70.99	297.42	49.52	224.43	40.55	218.34	39.12	490.25	20.9	45.6	8.18	35.05	7.03	11.67	5.05	3.86	2.55	<LOD	4.29	526707.56	2070.82	11.57	1.84	2.18	1	<LOD	18.52	<LOD	1.5	<LOD	1.5	<LOD	1.5	78037.06	2043.21	1293.89	253.11	311803.19	4138.19	920.81	50.43	<LOD	4513.43	<LOD	0	147490.05	0	667258.88	0	2963	0	35279.19	0	8266.69	0	6442.77	0	577.69	0	56666.47	0	147.16	10.32	49.47	9.25
655	655	43809.41389	TestAll Geo	121.09	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					13.8	2.67	381.16	5.69	104.64	3.11	26.01	5.55	78.26	2.35	40.53	4.14	45.57	5.29	9.17	4.83	<LOD	3.72	108.81	6.69	<LOD	11.22	57.74	10.06	306.15	37.86	274.54	19.27	99.96	22.99	<LOD	90.1	40691.56	505.9	472.16	50.11	33.5	10.32	99.55	23.29	4136.39	84.13	38.55	20.78	6170.41	138	30144.44	1176.59	2311.3	94.93	390.65	74.62	270.7	52.32	205.24	42.78	202.09	41.45	485.74	21.44	38.41	8.31	40.24	7.3	12.5	5.2	5.29	2.66	<LOD	4.42	523638.91	2098.16	12.04	1.87	2.61	1	<LOD	17.93	<LOD	1.5	<LOD	1.5	<LOD	1.5	79355.56	2051.24	1694.7	254.51	311021.53	4139.39	1027.47	51.61	<LOD	4455.41	<LOD	0	149982.02	0	665586.13	0	3880.85	0	36474.78	0	8638.57	0	6907.78	0	609.08	0	58188.93	0	145.1	10.59	58.42	9.6
