Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo_Error	Zr	Zr_Error	Sr	Sr_Error	U	U_Error	Rb	Rb_Error	Th	Th_Error	Pb	Pb_Error	Au	Au_Error	Se	Se_Error	As	As_Error	Hg	Hg_Error	Zn	Zn_Error	W	W_Error	Cu	Cu_Error	Ni	Ni_Error	Co	Co_Error	Fe	Fe_Error	Mn	Mn_Error	Cr	Cr_Error	V	V_Error	Ti	Ti_Error	Sc	Sc_Error	Ca	Ca_Error	K	K_Error	S	S_Error	Nd	Nd_Error	Pr	Pr_Error	Ce	Ce_Error	La	La_Error	Ba	Ba_Error	Sb	Sb_Error	Sn	Sn_Error	Cd	Cd_Error	Pd	Pd_Error	Ag	Ag_Error	Bal	Bal_Error	Nb	Nb_Error	Y	Y_Error	Bi	Bi_Error	Re	Re_Error	Ta	Ta_Error	Hf	Hf_Error	Al	Al_Error	P	P_Error	Si	Si_Error	Cl	Cl_Error	Mg	Mg_Error	MgO	MgO_Error	Al2O3	Al2O3_Error	SiO2	SiO2_Error	P2O5	P2O5_Error	K2O	K2O_Error	CaO	CaO_Error	TiO2	TiO2_Error	MnO	MnO_Error	Fe2O3	Fe2O3_Error	Cs	Cs_Error	Te	Te_Error
679	679	43809.47222	TestAll Geo	121.21	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					8.64	2.64	374.62	5.73	103.09	3.14	31.64	5.79	80.05	2.43	41.85	4.25	46.39	5.43	10.59	5.03	<LOD	2.56	99.92	6.64	<LOD	11.26	48.52	8.3	355.26	39.77	284.72	19.84	97.78	23.09	<LOD	89.74	40408.3	516.53	464.69	50.77	27.63	10.31	109.27	23.56	4161.71	84.57	46.4	21.08	6257.9	139.16	30604.67	1197.88	2344.28	93.22	498.68	70.43	295.94	48.92	223.72	40.06	232.08	38.73	481.14	20.63	37.54	7.98	32.07	6.91	<LOD	7.36	6.67	2.6	<LOD	4.2	518190.28	2157.97	10.69	1.88	2.43	1	<LOD	26.31	<LOD	1.5	<LOD	1.5	<LOD	1.5	82316.45	2045.82	1736.7	247.44	313063.09	4207.12	999.31	49.92	<LOD	4348.4	<LOD	0	155578.09	0	669955.06	0	3977.05	0	37031.65	0	8761.06	0	6950.06	0	599.44	0	57783.86	0	142.32	10.19	45.53	9.12
702	702	43809.52917	TestAll Geo	122.94	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					10.19	2.79	380.23	6.04	103.49	3.29	35.15	6.12	78.74	2.51	44.02	4.51	51.46	6.32	<LOD	7.26	<LOD	4.04	108.22	7.07	16	7.84	55.33	8.86	395.36	40.9	278.43	20.56	112.37	24.43	<LOD	94.93	40996.8	543.64	438.45	52.3	32.86	10.67	99.69	24.03	4205.6	87.03	35.56	21.8	6495.09	145.3	29697.29	1194.86	2247.97	88.57	400.65	74.34	292.15	52.23	197.67	42.48	193.64	41.17	503.22	21.88	41.22	8.49	33.69	7.3	18.42	5.39	5.09	2.7	<LOD	4.31	521265.56	2238.43	10.44	1.97	2.48	1	<LOD	19.85	<LOD	1.5	<LOD	1.5	<LOD	1.5	81395.67	1980.59	1878.45	239.02	311103.72	4228.05	921.63	46.94	<LOD	4240.23	<LOD	0	153837.81	0	665762	0	4301.65	0	35933.72	0	9093.12	0	7023.36	0	565.6	0	58625.43	0	146	10.76	59.25	9.75
725	725	43809.59514	TestAll Geo	122.26	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					11.08	2.58	344.76	5.4	104.3	3.08	32.4	5.63	78.42	2.34	44.85	4.22	46.47	5.3	<LOD	7.02	<LOD	2.47	102.09	6.51	11	7.24	48.07	8.01	365.69	38.09	267.21	18.97	105.48	22.88	<LOD	87.38	39518.58	499.35	441.56	48.69	26.14	9.68	107.53	21.77	3887.76	78	33.17	19.52	5936.35	130.17	29908.39	1122.84	2335.5	90.78	480.9	73.52	310.91	51.3	181.9	41.42	217.87	40.45	493.99	21.29	33.82	8.16	36.35	7.16	<LOD	7.55	4.97	2.63	<LOD	4.26	527474.94	2070.71	10.27	1.83	2.01	1	<LOD	25.16	<LOD	1.5	<LOD	1.5	<LOD	1.5	78916.64	1946.96	1743.55	243.92	307356.41	3698.96	911.42	47.98	<LOD	4131.72	<LOD	0	149152.45	0	657742.75	0	3992.73	0	36189.16	0	8310.89	0	6492.55	0	569.62	0	56511.57	0	153	10.53	52.37	9.44
748	748	43809.65278	TestAll Geo	120.55	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					11.49	2.58	335.74	5.35	99.3	3.03	28.76	5.55	76.36	2.31	43.12	4.19	48.51	5.4	<LOD	7	<LOD	2.46	99.94	6.54	16.25	7.51	51.27	8.18	352.34	37.97	269.29	19.04	104.92	23.02	<LOD	87.4	39073.13	495.67	409.67	48.17	32.24	9.63	110.09	21.44	3697.31	76.23	<LOD	28.07	5642.85	126.5	28687.91	1103.48	<LOD	232.59	422.9	71.54	257.2	49.87	173.81	40.53	200.24	39.57	517.29	21.86	46.69	8.5	50.13	7.52	14.28	5.29	<LOD	3.97	<LOD	4.5	537097.63	2037.33	11.54	1.85	2.17	1	<LOD	24.22	<LOD	1.5	<LOD	1.5	<LOD	1.5	75874.72	1959.14	1650.32	250.16	303116.53	3596.71	952.36	50	<LOD	4291.65	<LOD	0	143403.22	0	648669.44	0	3779.23	0	34712.37	0	7900	0	6174.51	0	528.47	0	55874.57	0	169.33	10.83	67.05	9.79
771	771	43809.70903	TestAll Geo	121.35	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					11.84	2.63	344.63	5.47	103.03	3.11	30.43	5.67	77.98	2.35	35.72	4.01	49.67	5.9	8.22	4.87	4.34	2.62	100.24	6.54	14.23	7.47	56.78	8.42	321.65	38.16	273.65	19.35	92.37	22.95	<LOD	87.78	38856.54	504.56	424.25	48.9	37.19	10.01	109.85	22.1	3828.63	78.94	38.73	19.74	5776.88	130.75	28864.95	1129.74	2190.6	87.13	484.37	73.41	305.05	51.15	202.03	41.57	243.69	40.52	493.53	21.54	39.51	8.33	33.22	7.2	8.84	5.14	<LOD	3.86	<LOD	4.35	535760.88	2063.91	9.67	1.83	2.05	1	<LOD	17.01	<LOD	1.5	<LOD	1.5	<LOD	1.5	75838.48	1884.81	1532.71	240.32	303026.19	3297.34	954.81	48.19	<LOD	4017.74	<LOD	0	143334.72	0	648476.06	0	3509.91	0	34926.59	0	8087.63	0	6393.81	0	547.29	0	55564.86	0	146.06	10.62	47.73	9.51
797	797	43811.40278	TestAll Geo	122.6	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					12.38	2.54	336.25	5.26	101.31	2.99	24.88	5.39	78.98	2.3	41.21	4.07	52.5	5.85	10.08	4.78	<LOD	3.83	99.01	6.37	<LOD	10.66	49.61	8.01	356.47	38.01	287	19.1	87.59	22.13	<LOD	86.32	39755.52	493.3	459.54	48.52	29.07	9.88	92.28	22.46	3979.68	81.04	<LOD	29.47	6006.71	132.64	29496.22	1153.49	2154.27	88.52	493.77	72.35	336.98	50.58	238.01	41.33	243.22	39.86	486.01	21.3	43.98	8.34	41.32	7.26	16.24	5.24	5.83	2.66	<LOD	4.38	539878.56	1987.5	12.03	1.82	2.08	1	<LOD	17.42	<LOD	1.5	<LOD	1.5	<LOD	1.5	73974.75	1883.35	1137.53	235.88	302445.41	4042.23	822.37	46.51	<LOD	4055.69	<LOD	0	139812.28	0	647233.19	0	2604.94	0	35690.43	0	8409.39	0	6646.07	0	592.8	0	56850.39	0	153.01	10.56	46.86	9.42
820	820	43811.45972	TestAll Geo	120.44	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					11.51	2.6	344.89	5.44	102.72	3.08	26.25	5.56	80.2	2.37	44.54	4.24	54.26	6.08	7.3	4.78	4.89	2.63	101.79	6.49	<LOD	10.93	48.53	8.12	348.95	38.43	287.23	19.56	93.33	22.85	<LOD	89.05	40166.49	508.34	463.47	49.67	37.73	10.28	99.97	22.75	3852.07	81.44	<LOD	30.2	6274.66	137.51	29314.27	1133.5	2172.22	88.86	452.13	72.21	247.96	50.09	182.88	40.86	211.85	39.87	502.57	21.52	44.67	8.38	34.34	7.2	14.42	5.23	<LOD	3.93	<LOD	4.39	526351.94	2085.61	10.7	1.83	1.86	1	<LOD	26.28	<LOD	1.5	<LOD	1.5	<LOD	1.5	78144.98	1988.93	1411.99	249.47	308578.94	3333.58	852.26	48.1	<LOD	4410.63	<LOD	0	147694	0	660358.94	0	3233.45	0	35470.27	0	8784.53	0	6432.96	0	597.88	0	57438.07	0	164.02	10.68	63.09	9.64
843	843	43811.51806	TestAll Geo	121.3	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					9.79	2.56	343.65	5.4	100.62	3.04	24.97	5.5	79.67	2.35	42.19	4.17	48.04	5.37	8.87	4.81	<LOD	2.46	98.28	6.49	<LOD	11.12	43.78	7.96	329.21	38.1	286.31	19.41	79.97	22.44	<LOD	87.79	39371.59	500.51	434.56	48.53	25.61	9.85	88.45	22.15	3956.05	80.46	<LOD	30.09	6122.61	134.7	29827.18	1147.98	2234.58	92.67	432.61	74.72	276.55	52.17	211.18	42.7	214.13	41.34	488.22	21.92	31.94	8.41	33.78	7.36	13.58	5.33	4.93	2.71	<LOD	4.48	532405.94	2057.04	10.52	1.82	2.1	1	<LOD	26.12	<LOD	1.5	<LOD	1.5	<LOD	1.5	76469.27	1988.81	1431.39	249.29	307195.69	4015.92	882.96	49.18	<LOD	4358.84	<LOD	0	144526.92	0	657398.81	0	3277.88	0	36090.89	0	8571.66	0	6606.6	0	560.58	0	56301.38	0	154.72	10.87	55.06	9.77
866	866	43811.61389	TestAll Geo	120.77	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					12.67	2.63	339.68	5.45	100.6	3.08	23.87	5.58	80.31	2.4	41.48	4.19	48.12	5.9	9.23	4.89	<LOD	2.51	101.54	6.51	13.72	7.43	43.08	7.99	343.7	38.87	281.38	19.59	83.58	22.89	<LOD	89.56	39479.84	510.76	429.34	49.26	28.34	9.88	94.97	22.57	3915.01	80.97	31.32	20.03	6160.66	133.5	29679.3	1164.77	2229.05	90.77	482.73	74.02	251.81	51.2	183.15	41.73	199.85	40.65	486.35	21.41	39.09	8.3	37.29	7.25	11.51	5.17	6.75	2.7	<LOD	4.45	532851.44	2082.67	11.81	1.87	2.12	1	19.04	11.95	<LOD	1.5	<LOD	1.5	<LOD	1.5	77200.27	1968.38	1450.48	242.08	305920.97	4092.94	859.92	47.74	<LOD	4430.9	<LOD	0	145908.52	0	654670.88	0	3321.61	0	35911.95	0	8624.92	0	6538.07	0	553.85	0	56456.18	0	149.53	10.6	58.34	9.58
887	887	43811.66528	TestAll Geo	121.68	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					11.47	2.58	341.72	5.41	101.72	3.06	22.51	5.43	76.87	2.33	44.15	4.22	43.3	5.19	<LOD	7	<LOD	2.47	100.94	6.47	12.09	7.48	44.72	8.03	345.67	37.83	288.25	19.5	69.95	22.35	<LOD	88.14	39231.13	502.49	427.97	48.68	26.55	9.85	105.11	22.35	3806.19	79.79	<LOD	29.5	5880.9	132.27	28963.59	1155.06	2208.82	92.07	469.61	70.74	285.28	49.23	176	39.85	211.47	38.94	516.13	21.4	42.85	8.26	38.51	7.2	8.85	5.07	5.58	2.64	<LOD	4.4	531879.13	2064.39	11.7	1.85	2.27	1	20.15	11.88	<LOD	1.5	<LOD	1.5	<LOD	1.5	76663.51	1988.03	1511.29	249.69	308521.22	4065.57	892.05	49.28	<LOD	4364.73	<LOD	0	144894.03	0	660235.44	0	3460.84	0	35045.95	0	8233.26	0	6356.34	0	552.08	0	56100.51	0	156.39	10.53	59.3	9.5
916	916	43816.41806	TestAll Geo	121.81	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	silica					14.39	2.62	349.53	5.43	97.58	2.99	21.79	5.35	75.89	2.3	41.34	4.13	46.69	5.29	6.92	4.61	<LOD	3.6	94.99	6.39	<LOD	10.93	47.03	8.04	348.67	37.73	284.94	19.38	78.98	22.42	<LOD	87.38	39284.24	499.3	429.01	48.29	24.84	9.75	81.32	22.16	3856.19	80.28	37.63	19.88	5907.98	131.67	29594.24	1147.38	2200	89.33	450.87	73.99	226.17	51.19	144.39	41.44	191.21	40.76	501.13	21.55	37.37	8.3	37.83	7.26	12.32	5.2	<LOD	3.82	<LOD	4.35	541744.13	2018.61	11.91	1.84	2.2	1	<LOD	17.79	<LOD	1.5	<LOD	1.5	<LOD	1.5	73639.01	1886.7	1065.81	234.82	301528.41	3969.44	870.12	47.31	<LOD	4270.16	<LOD	0	139177.72	0	645270.81	0	2440.71	0	35809.03	0	8271.18	0	6439.83	0	553.43	0	56176.46	0	149.06	10.62	60.42	9.62
939	939	43816.51875	TestAll Geo	122	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	silica					15.33	2.78	333.44	5.65	98.89	3.2	22.14	5.77	78.82	2.49	40.86	4.37	45.87	5.62	<LOD	7.49	<LOD	4.07	96.61	6.82	16.16	7.84	49.25	8.58	338.43	40.04	279.24	20.44	94.1	24.08	<LOD	93.39	39581.79	530.38	427.31	51.22	29.81	9.96	91.23	22.47	3899.99	80.86	<LOD	30.05	6180.59	134.29	29621.51	1117.6	2089.68	85.16	474.04	71.75	312.98	50.11	217.34	40.85	236.07	39.6	503.09	21.34	44.48	8.3	40.7	7.23	12.54	5.15	5.57	2.65	<LOD	4.39	537064.56	2155.42	10.47	1.93	2.06	1	19.38	12.42	<LOD	1.5	<LOD	1.5	<LOD	1.5	74623.2	1963.55	1294.58	236.27	302828.69	3606.18	847.36	46.16	<LOD	5552.02	<LOD	0	141037.86	0	648053.44	0	2964.6	0	35842.03	0	8652.83	0	6512.99	0	551.23	0	56601.96	0	153.75	10.53	52.31	9.44
967	967	43819.39583	TestAll Geo	122.8	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					10.94	2.68	338.37	5.6	101.19	3.18	22.4	5.66	77.65	2.44	39.28	4.25	50.32	6.13	9.5	5.04	<LOD	2.57	98.19	6.7	15.07	7.7	47.83	8.38	336.16	39.94	268.21	19.93	115.81	24.07	<LOD	91.1	39530.62	523.01	382.24	49.41	34.48	10.14	109.36	22.85	3854.9	81.16	<LOD	29.98	6263.68	136.17	29713.14	1181.03	2245.84	91.51	478.56	73	305.87	50.91	199.66	41.34	191.06	40.01	511.13	21.52	44.28	8.34	38.45	7.24	<LOD	7.58	5.59	2.66	<LOD	4.37	534574.63	2135.99	11.66	1.93	2.29	1	<LOD	18.4	<LOD	1.5	<LOD	1.5	<LOD	1.5	75606.38	1950.49	1390.18	242.33	305651.03	4112.93	912.98	48.63	<LOD	4370.54	<LOD	0	142896.05	0	654093.25	0	3183.51	0	35952.9	0	8769.15	0	6437.69	0	493.09	0	56528.78	0	161.87	10.64	57.59	9.56
991	991	43819.46319	TestAll Geo	120.91	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					11.02	2.56	357.52	5.41	100.71	3	30.5	5.56	80.1	2.33	43.21	4.12	47.7	5.69	<LOD	6.82	<LOD	2.37	97.87	6.26	11.67	7.23	43.93	7.82	348.32	37.3	266.02	18.65	72.32	22.01	<LOD	86.96	39690.07	494.95	401.86	47.12	44.68	10.35	104.6	22.34	3900.38	80.16	<LOD	30.23	6107.88	135.16	29822.31	1175.78	2216.81	93.04	488.32	71.67	266.81	49.63	193.96	40.5	196.99	39.28	500.84	21.47	48.45	8.4	40.09	7.27	9.66	5.13	4.3	2.62	<LOD	4.35	526974.94	2045.08	11.78	1.82	2.02	1	<LOD	27.67	<LOD	1.5	<LOD	1.5	<LOD	1.5	78313.71	2032.97	1725.6	254.14	310066.59	4169.77	813.54	48.58	<LOD	4449.86	<LOD	0	148012.91	0	663542.56	0	3951.63	0	36084.99	0	8551.04	0	6513.63	0	518.4	0	56756.8	0	148.81	10.58	56.67	9.55
1011	1011	43819.51875	TestAll Geo	122.5	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					11.22	2.62	351.99	5.53	102.29	3.1	24.36	5.54	77.97	2.36	38.47	4.1	44.52	5.3	<LOD	7.06	<LOD	3.08	102.64	6.6	14.12	7.56	46.48	8.15	327.68	37.94	267.75	19.28	92.41	22.99	<LOD	89.14	39682.24	511.75	467.9	50.19	42.25	10.37	105.43	22.78	3919.29	81.46	<LOD	30.15	6283.4	137.11	29614.95	1177.47	<LOD	247.43	491.48	71.65	275.05	49.66	211.66	40.67	184.66	39.16	489.69	21.16	36.08	8.16	31.28	7.06	9.78	5.07	<LOD	3.83	<LOD	4.27	538039.5	2055.29	10.14	1.84	2.15	1	<LOD	27.06	<LOD	1.5	<LOD	1.5	<LOD	1.5	73622.09	1907.18	1594.63	235.48	304136.66	4075.05	847.57	45.96	<LOD	4996.42	<LOD	0	139145.75	0	650852.5	0	3651.69	0	35834.09	0	8796.76	0	6545.22	0	603.59	0	56745.61	0	142.51	10.42	49.73	9.37
1021	1021	43819.54514	TestAll Geo	121.15	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					12.12	2.64	340.79	5.48	100.03	3.09	31.07	5.78	80.57	2.42	44.21	4.31	53.85	6.1	<LOD	7.27	<LOD	2.89	102.72	6.69	15.37	7.63	45.31	8.15	330.53	38.26	281.86	19.64	99.44	23.23	<LOD	89.37	39528.22	508.65	417.11	49.2	31.23	9.94	100.32	22.42	3995.27	80.72	<LOD	29.36	6052.26	133.37	29485.5	1120.43	<LOD	247.46	456.49	70.9	300.09	49.53	213.79	40.43	194.49	38.97	499.31	21.17	41.09	8.2	38.3	7.15	10.11	5.07	5.16	2.62	<LOD	4.37	529300.25	2096.81	12.45	1.89	2.04	1	<LOD	18.17	<LOD	1.5	<LOD	1.5	<LOD	1.5	76968.11	1973.31	1456.68	250.58	307113.81	3322.37	862.31	48.38	<LOD	4283.69	<LOD	0	145469.72	0	657223.56	0	3335.79	0	35677.46	0	8473.16	0	6672.1	0	538.08	0	56525.35	0	155.3	10.47	54.66	9.4
