Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo Error	Zr	Zr Error	Sr	Sr Error	U	U Error	Rb	Rb Error	Th	Th Error	Pb	Pb Error	Au	Au Error	Se	Se Error	As	As Error	Hg	Hg Error	Zn	Zn Error	W	W Error	Cu	Cu Error	Ni	Ni Error	Co	Co Error	Fe	Fe Error	Mn	Mn Error	Cr	Cr Error	V	V Error	Ti	Ti Error	Sc	Sc Error	Ca	Ca Error	K	K Error	S	S Error	Nd	Nd Error	Pr	Pr Error	Ce	Ce Error	La	La Error	Ba	Ba Error	Sb	Sb Error	Sn	Sn Error	Cd	Cd Error	Pd	Pd Error	Ag	Ag Error	Bal	Bal Error	Nb	Nb Error	Y	Y Error	Bi	Bi Error	Re	Re Error	Ta	Ta Error	Hf	Hf Error	Al	Al Error	P	P Error	Si	Si Error	Cl	Cl Error	Mg	Mg Error	MgO	MgO Error	Al2O3	Al2O3 Error	SiO2	SiO2 Error	P2O5	P2O5 Error	K2O	K2O Error	CaO	CaO Error	TiO2	TiO2 Error	MnO	MnO Error	Fe2O3	Fe2O3 Error	Cs	Cs Error	Te	Te Error
1	1	10/10/2019 14:36	TestAll Geo	180.98	ppm	2	Final	-3mm 									18.22	1.91	375.53	4	100.74	2.16	11.98	3.7	78.69	1.61	44.79	3.03	51.04	3.92	5.77	3.3	3.7	1.82	101.15	4.71	10.18	5.17	41.84	5.62	366.74	26.18	304.15	13.63	66.2	15.97	<LOD	101.84	40600.45	349.79	455.1	35.1	30.86	7.28	81.17	16.66	3880.51	60.11	<LOD	21.61	5937.82	97.47	29640.94	787.96	2219.4	80.74	473.75	72.99	297.29	50.88	222.04	41.64	200.61	40.11	344.59	31	<LOD	12.13	<LOD	12.31	<LOD	7.37	<LOD	3.18	<LOD	20.53	521197.75	1481.49	13.54	1.29	2.49	1	32.35	8.11	<LOD	1.5	<LOD	1.5	<LOD	1.5	80327.19	1840.32	594.46	226.3	311397.31	2463.31	856.05	43.88	<LOD	4381.63	<LOD	0	151818.39	0	666390.31	0	1361.32	0	35865.54	0	8312.95	0	6480.46	0	587.08	0	58058.64	0				
2	2	10/10/2019 14:40	TestAll Geo	181	ppm	2	Final	-3mm 									17.14	1.9	375.38	3.99	102.14	2.17	9.52	3.65	79.19	1.61	43.01	2.98	50.96	4.09	<LOD	4.8	3.67	1.8	104.33	4.67	<LOD	7.74	42.19	5.63	363.09	25.87	289.61	13.4	71.5	16.02	106.12	67.89	40350.77	350.57	447.51	34.97	33.52	7.28	79.21	16.41	3912.68	59.59	27.16	14.52	5925.68	97.31	29639.18	786.28	2267.4	82.21	421.74	74.54	275.49	52.12	198.07	42.5	184.63	41.13	374.24	32.03	<LOD	13.78	<LOD	12.39	<LOD	7.08	<LOD	3.11	<LOD	21.15	520209	1484.35	12.02	1.27	2.48	1	28.28	8.11	<LOD	1.5	<LOD	1.5	<LOD	1.5	80493.37	1834.38	666.31	228.71	312911.56	2555.45	878.92	44.49	<LOD	4083.59	<LOD	0	152132.47	0	669630.75	0	1525.84	0	35863.41	0	8295.95	0	6534.17	0	577.29	0	57701.6	0				
3	3	10/10/2019 14:43	TestAll Geo	180.16	ppm	2	Final	-3mm 									19.13	1.93	381.98	4.04	102.73	2.19	10.17	3.7	80.02	1.63	44.44	3.03	53.6	4.17	7.94	3.4	3.65	1.85	101.62	4.71	<LOD	7.84	37.42	5.57	353	26.34	291.26	13.5	84.19	16.27	<LOD	102.41	40578.41	354.18	479.77	35.62	28.15	7.2	78.6	16.54	3927	59.83	<LOD	21.61	6019.83	97.09	30058.42	791.06	2357.02	83.19	417.7	73.64	278.14	51.53	142.66	41.41	159.44	40.55	327.4	31.4	<LOD	12.36	<LOD	12.34	<LOD	6.08	<LOD	3.18	<LOD	20.95	513663.63	1509.47	11.59	1.27	2.44	1	32.99	8.17	<LOD	1.5	<LOD	1.5	<LOD	1.5	82223.41	1851.86	521.33	228.4	316811.44	2533.55	878.15	44.45	<LOD	4124.26	<LOD	0	155402.25	0	677976.5	0	1193.84	0	36370.69	0	8427.76	0	6558.09	0	618.9	0	58027.13	0				
4	4	10/10/2019 14:47	TestAll Geo	181.15	ppm	2	Final	-3mm 									17.81	1.9	376.49	3.99	84.34	1.78	11.82	3.7	80.33	1.6	44.36	3.01	53.42	4.09	4.92	3.24	2.85	1.78	104.59	4.71	<LOD	7.71	46.1	5.72	385.89	26.01	290.23	13.22	84.17	16.1	115.24	66.84	40373.75	343.64	446.89	34.82	35.27	7.23	75.94	16.35	3981.05	59.37	29.81	14.38	6019.27	96.09	28479	734.17	2209.71	79.36	429	70.19	237.11	48.76	180.4	39.84	173.61	38.65	323.22	29.9	<LOD	11.77	<LOD	11.64	<LOD	6.91	<LOD	2.92	<LOD	19.85	525132.81	1464.84	11.95	1.26	2.45	1	24.38	8.14	<LOD	1.5	<LOD	1.5	<LOD	1.5	80662.1	1838.71	578.33	221.48	304671.03	2311.4	799.53	42.5	<LOD	4453.25	7361.38	0	152451.38	0	651996.06	0	1324.38	0	34459.59	0	8426.98	0	6648.35	0	576.49	0	57734.45	0				
5	5	10/10/2019 14:50	TestAll Geo	180	ppm	2	Final	-3mm 									17.1	1.91	378.04	4.03	102.46	2.19	13.5	3.78	81.34	1.65	41.99	2.99	54.89	4.2	7.77	3.38	<LOD	2.52	104.37	4.74	9.35	5.26	43.6	5.71	353.65	26.38	298.44	13.62	62.91	16.06	151.08	68.85	40474.78	351.5	464.63	35.43	26.62	6.96	79.66	16.06	3933.66	58.08	25.22	14.01	5992.8	94.08	30122.97	770.72	2361.92	88	420.55	72.63	308.26	51.02	170.47	41.11	190.33	40.13	353.6	31.09	<LOD	16.93	<LOD	12.08	<LOD	6.1	<LOD	3.09	<LOD	20.6	508208.09	1468.58	11.63	1.28	2.39	1	28.12	8.21	<LOD	1.5	<LOD	1.5	<LOD	1.5	84329.5	1983.11	798.04	245.92	319623.94	2440.89	858.69	47.09	<LOD	4289.92	<LOD	0	159382.75	0	683995.25	0	1827.52	0	36448.8	0	8389.92	0	6569.22	0	599.37	0	57878.93	0				
6	6	10/10/2019 14:54	TestAll Geo	181.12	ppm	2	Final	-3mm 									17	1.92	378.75	4.06	85.51	1.84	13.15	3.79	80.15	1.64	45.4	3.08	48.01	3.87	8.92	3.45	<LOD	3.28	105.22	4.77	9.97	5.29	48.8	5.86	347.89	26.62	295.19	13.64	79.49	16.31	<LOD	65.08	40683.44	355.18	424.29	34.94	38.39	7.2	86.5	16.23	3928.71	58.46	<LOD	21.13	6055.62	95.37	29899.74	776.13	<LOD	175.56	437.14	73.46	266.15	51.21	167.11	41.48	184.92	40.49	342.9	31.34	<LOD	12.28	<LOD	12.24	<LOD	10.57	<LOD	3.24	<LOD	20.84	514956.72	1515.47	12.58	1.3	2.65	1	28.29	8.27	<LOD	1.5	<LOD	1.5	<LOD	1.5	82132.53	1847.65	478.36	227.88	315340.66	2444.56	861.51	44.18	<LOD	4060.66	<LOD	0	155230.48	0	674829.06	0	1095.45	0	36178.69	0	8477.87	0	6560.95	0	547.33	0	58177.31	0				
7	7	10/10/2019 14:57	TestAll Geo	180.47	ppm	2	Final	-3mm 									17.37	1.92	377.43	4.03	103.87	2.21	14.19	3.8	81.06	1.64	40.77	2.97	56.12	4.23	6.3	3.34	3.02	1.81	105.49	4.79	9.31	5.23	47.22	5.79	361.67	26.37	291.95	13.52	67.34	16.12	114.24	68.53	40399.73	354.62	465.73	35.56	24.33	7.18	98.04	16.71	3872.15	59.6	27.14	14.49	6020.75	96.98	29926.7	800.33	2355.46	82.91	448.39	75.67	275.83	52.76	190.82	42.93	190.82	41.7	359.15	32.31	<LOD	12.85	<LOD	12.63	<LOD	6.36	<LOD	3.41	<LOD	21.47	512419.28	1516.62	12.35	1.28	2.42	1	23.28	8.2	<LOD	1.5	<LOD	1.5	<LOD	1.5	82563.18	1840.58	585.13	228.32	317644.53	2554.82	882.07	44.34	<LOD	3938.78	<LOD	0	156044.41	0	679759.31	0	1339.96	0	36211.3	0	8429.05	0	6466.49	0	600.79	0	57771.62	0				
8	8	10/10/2019 15:01	TestAll Geo	180.53	ppm	2	Final	-3mm 									17.98	1.92	376.35	4.02	104.89	2.21	14.57	3.78	80.18	1.63	44.58	3.03	54.19	4.16	7.74	3.38	2.92	1.81	105.32	4.74	<LOD	7.78	43.34	5.67	347.13	26.17	286.46	13.4	91.52	16.34	<LOD	64.34	40584.05	355.34	457.66	35.28	36.49	7.37	73.16	16.58	3975.92	60.33	30.53	14.6	5964.21	97.55	30374.87	803.31	2244.65	81.42	448.89	72.37	283.92	50.5	193.53	41.1	204.61	39.94	340.5	30.81	<LOD	12.11	<LOD	12.05	<LOD	6.05	<LOD	3.12	<LOD	20.46	514635.81	1502.91	11.35	1.27	2.41	1	21.71	8.28	<LOD	1.5	<LOD	1.5	<LOD	1.5	81198.7	1814.42	908.24	230.1	316523.03	2602.85	873.23	44.18	<LOD	3732.21	<LOD	0	153465.55	0	677359.31	0	2079.87	0	36753.59	0	8349.9	0	6639.79	0	590.38	0	58035.2	0				
9	9	10/10/2019 15:04	TestAll Geo	180.11	ppm	2	Final	-3mm 									16.03	1.89	377.19	4.01	103.32	2.19	13.42	3.73	78.95	1.61	42.37	2.97	49.67	4.05	9.25	3.41	<LOD	2.58	103.9	4.66	<LOD	7.83	44.29	5.71	335.67	26.25	287.85	13.37	63.56	15.9	<LOD	101.81	40640.91	347.2	459.55	35.14	27.92	6.94	86.77	15.97	3910.23	57.5	<LOD	20.88	6069.21	94.07	29923.99	763.31	<LOD	173.62	428.04	72.96	285.54	51.05	204.29	41.65	202.65	40.35	351.45	31.19	<LOD	12.26	<LOD	12.28	<LOD	6.13	<LOD	2.96	<LOD	20.7	504084.78	1479.94	12.21	1.28	2.44	1	20.85	8.2	<LOD	1.5	<LOD	1.5	<LOD	1.5	85187.36	2017.96	656	242.67	319991.75	2453.83	824.9	46.12	<LOD	4760.31	5631.66	0	161004.11	0	684782.38	0	1502.24	0	36208.03	0	8496.89	0	6530.08	0	592.82	0	58116.49	0				
10	10	10/10/2019 15:08	TestAll Geo	180.59	ppm	2	Final	-3mm 									17.26	1.91	372.5	4.01	103.19	2.2	14.22	3.78	80.87	1.64	40.86	2.96	46.8	3.82	5.94	3.32	3.21	1.82	103.41	4.7	<LOD	7.79	51.04	5.88	353.97	26.28	280.15	13.37	80.17	16.23	<LOD	64.6	40686.21	350.96	481.38	35.78	38.15	7.25	92.89	16.19	4028.26	58.62	28.85	14.36	6029.19	96.27	30304.39	786.42	2324.27	85	480.31	74.88	273.8	52	217.3	42.62	187.61	41.06	369.2	31.91	<LOD	12.53	<LOD	12.57	<LOD	9.76	<LOD	3.38	<LOD	21.14	509878.16	1467.98	12.32	1.29	2.42	1	22.92	8.18	<LOD	1.5	<LOD	1.5	<LOD	1.5	83895.36	1977.96	748.47	237.57	318107.66	2460.86	901.01	46.11	<LOD	4936.48	<LOD	0	158562.23	0	680750.44	0	1714.01	0	36668.31	0	8440.87	0	6727.2	0	620.99	0	58181.27	0				
11	11	10/10/2019 15:11	TestAll Geo	180.87	ppm	2	Final	-3mm 									17.69	1.91	376.21	4	103.25	2.19	15.12	3.78	80.82	1.63	46.14	3.06	53.47	4.15	6.08	3.31	2.77	1.8	108.68	4.76	<LOD	7.79	38.96	5.58	357.43	26.06	297.25	13.53	82.03	16.15	<LOD	64.18	40676.46	350.72	500.95	35.92	36.21	7.27	81.04	16.27	3907.15	59.02	37.15	14.59	5969.64	96.94	30461.17	791.55	2320.26	84.81	464.92	77.12	300.65	53.85	175.57	43.49	203.51	42.47	362.67	32.88	<LOD	17.51	<LOD	12.87	<LOD	8.63	<LOD	3.33	<LOD	21.82	507904.25	1457.73	11.9	1.27	2.4	1	28.22	8.2	<LOD	1.5	<LOD	1.5	<LOD	1.5	83588.19	1934.26	799.13	237.7	320776.44	2578.1	896.37	45.86	<LOD	4445.65	<LOD	0	157981.67	0	686461.63	0	1830.01	0	36858.02	0	8357.5	0	6524.94	0	646.23	0	58167.34	0				
12	12	10/10/2019 15:15	TestAll Geo	180.68	ppm	2	Final	-3mm 									16.58	1.9	378.09	4	101.8	2.17	16.38	3.79	80.45	1.63	43.33	2.99	52.86	4.13	<LOD	4.84	3.42	1.78	104.38	4.7	9.94	5.08	47.34	5.71	359.43	25.8	301.07	13.6	92.12	16.28	<LOD	64.21	40722.73	349.25	480.9	35.5	31.29	7.02	77.12	16	3950.33	58.06	39.26	14.2	5964.07	94.02	30360.72	781.74	2368.21	88.43	475.53	75.5	272.57	52.46	208.57	42.9	175.7	41.38	361.25	32.14	<LOD	14.06	<LOD	12.53	<LOD	8.11	<LOD	3.3	<LOD	21.32	503958.59	1467.74	11.62	1.27	2.42	1	19.98	8.21	<LOD	1.5	<LOD	1.5	<LOD	1.5	85432.53	2021.09	909.83	248.17	322551.84	2557.74	885.87	47.54	<LOD	4561.26	<LOD	0	161467.48	0	690261	0	2083.51	0	36736.47	0	8349.7	0	6597.05	0	620.36	0	58233.51	0				
13	13	10/10/2019 15:18	TestAll Geo	180.84	ppm	2	Final	-3mm 									17.22	1.89	378.68	3.98	103.59	2.17	17.79	3.8	81.37	1.62	42.66	2.96	48.29	3.8	5.66	3.24	<LOD	2.65	100.28	4.61	9.13	5.14	41.38	5.57	365.61	25.89	294.19	13.38	74.06	15.88	<LOD	63.42	40626.76	347.12	443.52	34.62	23.35	7.04	90.01	16.29	3963.12	58.74	<LOD	21.28	6029.33	95.98	30369.75	789.71	2301.13	84.15	348.56	75.24	218.68	52.64	145.77	42.71	161.77	41.81	329.69	32.38	<LOD	12.76	<LOD	12.5	<LOD	6.46	<LOD	3.3	<LOD	21.7	504233.47	1467.19	11.9	1.26	2.45	1	20.31	8.16	<LOD	1.5	<LOD	1.5	<LOD	1.5	84791.2	1962.63	873.22	237.09	319998.31	2558.74	879.91	45.49	<LOD	4630.35	5968.24	0	160255.38	0	684796.44	0	1999.67	0	36747.4	0	8441.07	0	6618.4	0	572.14	0	58096.26	0				
14	14	10/10/2019 15:22	TestAll Geo	180.15	ppm	2	Final	-3mm 									16.52	1.91	378.45	4.04	104.2	2.21	15.47	3.81	80.32	1.63	45.18	3.05	51.76	4.12	9.16	3.46	2.88	1.84	104.43	4.71	8.43	5.32	42.75	5.72	333.38	26.31	294.78	13.58	86.36	16.37	<LOD	102.67	40517.77	350.63	456.09	35.28	33.81	7.13	112.73	16.29	3971.53	58.03	26.15	14.16	6027.48	95.16	30325.18	794.56	2366	88.09	422.51	73.16	278.84	51.18	179.77	41.52	188.48	40.42	345.9	31.28	<LOD	14.86	<LOD	12.17	<LOD	6.52	<LOD	3.16	<LOD	20.78	504609.72	1476.84	12.41	1.29	2.3	1	18.33	8.3	<LOD	1.5	<LOD	1.5	<LOD	1.5	85803.77	2006.09	1086.76	248.01	321673.5	2578.5	825.52	46.67	<LOD	4353.83	<LOD	0	162169.11	0	688381.31	0	2488.68	0	36693.47	0	8438.47	0	6632.45	0	588.36	0	57940.4	0				
15	15	10/10/2019 15:25	TestAll Geo	180.5	ppm	2	Final	-3mm 									16.56	1.92	378.66	4.05	103.51	2.21	18.07	3.86	80.24	1.64	45.2	3.07	57.46	4.27	9.44	3.46	<LOD	2.74	98.77	4.75	9.6	5.23	48.17	5.81	342.88	26.54	298.39	13.67	84.57	16.33	<LOD	64.79	40740.03	350.79	449.81	35.33	33.3	7.24	90.32	16.46	3928.38	59.34	23.92	14.39	5965.23	96.82	30021.97	798.53	2252.23	82.2	439.34	76.22	268.86	53.14	154.02	42.87	201.01	42.11	346.98	32.52	<LOD	12.79	<LOD	12.68	<LOD	7.76	<LOD	3.34	<LOD	21.63	511029.47	1466.83	12.18	1.29	2.58	1	22.87	8.31	<LOD	1.5	<LOD	1.5	<LOD	1.5	83304.18	1864.64	954.98	232.87	318283.19	2573.04	853.37	44.48	<LOD	3889.43	<LOD	0	157444.89	0	681126.06	0	2186.89	0	36326.59	0	8351.32	0	6560.39	0	580.26	0	58258.24	0				
16	16	10/10/2019 15:29	TestAll Geo	180.12	ppm	2	Final	-3mm 									14.94	1.89	381.47	4.02	85.06	1.81	16.5	3.8	80.27	1.62	41.4	2.95	50.68	4.05	10.61	3.47	<LOD	2.52	105.89	4.69	11.57	5.22	42.23	5.62	342.46	26.38	300.48	13.54	71.45	16.05	109.56	68.3	40669.7	350.27	473.65	35.34	31.03	7.38	93.33	16.91	3938.79	60.66	<LOD	21.81	6059.83	98.86	30286.71	814.48	2335.36	83.37	401.44	72.06	286.99	50.59	171.04	40.9	183.85	39.87	360.87	30.98	<LOD	18.6	<LOD	12.11	<LOD	7.24	<LOD	3.09	<LOD	20.5	505740.66	1462.14	12.47	1.28	2.46	1	14.02	8.24	<LOD	1.5	<LOD	1.5	<LOD	1.5	85019.4	1902.35	1049.44	234.72	321176.09	2554	824.26	44.25	<LOD	4170.2	<LOD	0	160686.66	0	687316.88	0	2403.22	0	36646.92	0	8483.76	0	6577.78	0	611.01	0	58157.67	0				
17	17	10/10/2019 15:33	TestAll Geo	180.09	ppm	2	Final	-3mm 									16.84	1.92	376.03	4.03	83.15	1.81	15.2	3.79	79.38	1.63	42.48	3	50.93	4.12	7.82	3.41	3.8	1.85	106.09	4.74	8.84	5.24	43.98	5.73	339.18	26.31	296.17	13.61	80.82	16.24	<LOD	64.74	40782.11	352.08	441.13	35.21	33.6	7.28	89.78	16.52	3970	59.58	23.77	14.48	6066.03	97.37	29702.85	786.01	2442.09	84.53	487.38	72.27	279.28	50.17	213.94	41.06	212.23	39.71	393.9	30.93	<LOD	15.13	<LOD	11.91	<LOD	5.97	<LOD	2.96	<LOD	20.3	508767.44	1469.93	12.82	1.29	2.48	1	23.06	8.24	<LOD	1.5	<LOD	1.5	<LOD	1.5	84074.29	1896.17	906.36	233.2	318759.88	2359.95	866.97	44.56	<LOD	4307.73	<LOD	0	158900.41	0	682146.19	0	2075.56	0	35940.45	0	8492.44	0	6629.9	0	569.05	0	58318.41	0				
18	18	10/10/2019 15:36	TestAll Geo	181.35	ppm	2	Final	-3mm 									16.26	1.91	375.79	4.02	102.8	2.19	18.11	3.82	78.65	1.62	43.41	3.02	55.13	4.19	10.5	3.49	2.84	1.84	104.98	4.77	<LOD	7.81	44.69	5.73	351.34	26.65	290.05	13.48	83.7	16.29	<LOD	102.84	40707.01	351.9	446.63	35.19	33.67	7.06	84.63	15.88	4021.41	57.72	22.28	14.09	6105.74	95.02	30184.42	769.27	<LOD	175.96	427.97	76.04	305.44	53.35	206.28	43.4	197.51	42.02	368.26	32.57	<LOD	12.8	<LOD	12.58	<LOD	6.44	<LOD	3.29	<LOD	21.57	501885.94	1486.74	12.36	1.28	2.36	1	20.38	8.25	<LOD	1.5	<LOD	1.5	<LOD	1.5	84841.82	1969.67	831.07	238.8	321861.81	2475.82	890.23	45.79	<LOD	4642.95	5341.86	0	160351.05	0	688784.31	0	1903.16	0	36523.15	0	8548.03	0	6715.76	0	576.15	0	58211.02	0				
19	19	10/10/2019 15:40	TestAll Geo	180.87	ppm	2	Final	-3mm 									15.05	1.87	375.98	3.97	102.16	2.16	16	3.76	80.53	1.61	42.53	2.96	50.22	4.02	7.34	3.31	<LOD	2.39	105.27	4.66	<LOD	7.73	48.82	5.77	348.91	25.87	293.89	13.39	88.89	16.11	<LOD	63.51	40552.64	344.78	431.99	34.43	35.63	7.18	70.14	16.12	3967.24	58.82	25.13	14.34	6111.27	96.22	29837.43	775.82	2326.38	87.56	503.9	72.23	307.9	50.25	220.3	41.04	214.49	39.62	365.57	30.68	<LOD	13.99	<LOD	11.94	<LOD	9.56	<LOD	3.08	<LOD	20.2	496100.16	1493.59	12.39	1.27	2.39	1	17.67	8.14	<LOD	1.5	<LOD	1.5	<LOD	1.5	89053.95	2105.38	910.68	248.7	322473	2478.16	849.66	47.21	<LOD	4930.04	7799.58	0	168311.97	0	690092.25	0	2085.46	0	36103.29	0	8555.78	0	6625.28	0	557.27	0	57990.27	0				
20	20	10/10/2019 15:43	TestAll Geo	180.1	ppm	2	Final	-3mm 									15.25	1.9	377.72	4.03	86.28	1.83	18.86	3.85	80.02	1.63	46.48	3.07	46.83	3.82	5.19	3.3	3.23	1.81	104.93	4.72	9.68	5.23	49.89	5.83	360.8	26.11	285.92	13.41	98.68	16.41	<LOD	64.21	40768.8	351.29	463.64	35.37	35.87	7.26	83.64	16.45	3962.6	59.47	28.97	14.38	5962.19	96.19	29998.65	794.62	2323.84	85.19	410.18	72.76	247.2	50.75	174	41.3	174.03	40.19	336.65	31.11	<LOD	12.32	<LOD	12.08	<LOD	6.03	<LOD	3.21	<LOD	20.75	504581.34	1472.71	12.05	1.28	2.48	1	23.72	8.31	<LOD	1.5	<LOD	1.5	<LOD	1.5	85817.85	1960.1	1016.91	241.51	321753.88	2493.77	839.38	45.64	<LOD	4281.68	<LOD	0	162195.73	0	688553.31	0	2328.73	0	36298.37	0	8347.07	0	6617.54	0	598.1	0	58299.39	0				
21	21	10/10/2019 15:47	TestAll Geo	180.17	ppm	2	Final	-3mm 									14.43	1.86	375.64	3.95	103.47	2.16	19.37	3.8	80.41	1.61	41.84	2.93	51.19	4.02	7.4	3.3	<LOD	2.51	107.35	4.65	<LOD	7.63	40.68	5.53	365.98	25.96	290	13.25	76.86	15.86	<LOD	63.37	40652.84	345.58	485.35	35.18	31.59	7.14	82.53	16.28	3993.61	59	24.74	14.28	6041.05	95.99	30077.04	782.27	2324.32	87.1	490.71	74.3	320.76	51.86	216.54	42.21	228.91	40.9	386.31	31.71	<LOD	13.57	<LOD	12.37	<LOD	10.79	<LOD	3.28	<LOD	20.84	504694.94	1450.14	11.28	1.25	2.55	1	18.22	8.09	<LOD	1.5	<LOD	1.5	<LOD	1.5	85820.7	2004.57	875.4	245.8	321651.34	2553.81	863.24	46.94	<LOD	4407.94	<LOD	0	162201.11	0	688333.94	0	2004.66	0	36393.21	0	8457.47	0	6669.33	0	626.1	0	58133.56	0				
22	22	10/10/2019 15:50	TestAll Geo	180.89	ppm	2	Final	-3mm 									14.82	1.9	381.08	4.04	101.49	2.18	17.67	3.84	80.81	1.64	42.37	3	55.23	4.2	6.97	3.36	3.14	1.82	105.13	4.77	<LOD	7.81	46.71	5.78	352.08	26.21	296.41	13.59	94.61	16.4	<LOD	64.44	40718.36	351.76	435.84	34.98	25.52	7.04	92.88	16.28	3957.66	58.55	<LOD	21.06	6030.37	95.52	30283.2	791.36	2411.02	89.09	421.37	75.98	295.39	53.27	191.48	43.24	206.07	42.08	365.49	32.57	<LOD	12.78	<LOD	12.77	<LOD	10.52	<LOD	3.32	<LOD	21.59	500098.66	1478.79	12.71	1.29	2.43	1	<LOD	12.55	<LOD	1.5	<LOD	1.5	<LOD	1.5	85476.13	2072.48	1054.04	250.79	326136.91	2581.6	828.17	46.88	<LOD	5222.54	<LOD	0	161549.88	0	697933	0	2413.76	0	36642.68	0	8442.52	0	6609.3	0	562.24	0	58227.25	0				
23	23	10/10/2019 15:54	TestAll Geo	180.67	ppm	2	Final	-3mm 									16.74	1.92	375.91	4.03	85.95	1.84	19.37	3.87	79.19	1.63	43.23	3.02	52.04	4.15	<LOD	4.92	3.72	1.82	102.56	4.73	11.83	5.31	44.61	5.75	363.43	26.15	287.98	13.49	76.53	16.22	<LOD	64.73	40551.14	351.31	457.33	35.41	32.79	7.05	85.38	15.91	3975.46	57.65	22.58	14.05	6061.26	94.76	30499.43	778.54	2378.27	88.51	467.33	72.3	270	50.25	200	41.02	214.31	39.84	390.27	31	<LOD	13.27	<LOD	12.02	<LOD	8.68	<LOD	3.24	<LOD	20.36	500840.59	1484.67	11.59	1.28	2.39	1	22.19	8.25	<LOD	1.5	<LOD	1.5	<LOD	1.5	85900.34	2021.16	911.69	249.11	325244.56	2577.12	852.35	47.16	<LOD	4469.43	<LOD	0	162351.64	0	696023.38	0	2087.77	0	36904.3	0	8485.76	0	6639.01	0	589.95	0	57988.13	0				
24	24	10/10/2019 15:57	TestAll Geo	180.53	ppm	2	Final	-3mm 									16.91	1.89	374.36	3.97	86.36	1.81	19.6	3.83	81.12	1.62	45.17	3.01	51.77	4.09	5.49	3.3	4.15	1.83	107.49	4.7	8.24	5.2	44.17	5.66	339.43	25.63	280.73	13.17	77.99	15.98	<LOD	63.57	40422.27	345.31	424.73	34.26	27.28	7	88.53	16.01	3939.84	57.72	<LOD	20.96	6038.15	94.52	30022.41	776.43	2380.74	88.56	449.95	72.49	270.71	50.49	180.99	41.04	179.34	39.87	332.6	30.82	<LOD	12.03	<LOD	12.06	<LOD	6.08	<LOD	3.13	<LOD	20.52	503106.47	1455.9	11.89	1.26	2.45	1	26.68	8.14	<LOD	1.5	<LOD	1.5	<LOD	1.5	84796.85	2003.46	996.75	249.65	324665.16	2559.89	870.18	47.28	<LOD	4437.85	<LOD	0	160266.05	0	694783.44	0	2282.57	0	36327.11	0	8453.41	0	6579.54	0	547.9	0	57803.85	0				
25	25	10/10/2019 16:01	TestAll Geo	181.24	ppm	2	Final	-3mm 									13.5	1.86	376.85	3.97	104.8	2.18	20.16	3.83	80.22	1.61	41.97	2.95	53.19	4.09	10.49	3.45	<LOD	2.19	105.68	4.7	8.05	5.18	43.67	5.63	345.47	26.34	285.96	13.24	78.84	15.95	<LOD	63.52	40652.91	345.48	474.06	35.1	28.75	7.03	81	16.06	3934.74	58.24	24.59	14.08	5899.16	94.62	29607.08	772.01	2393.79	88.29	484.3	75.28	305.23	52.47	198.52	42.62	205.76	41.35	359.43	32.01	<LOD	12.57	<LOD	12.48	<LOD	8.89	<LOD	3.25	<LOD	21.19	500492.5	1464.05	10.37	1.25	2.58	1	17.61	8.19	<LOD	1.5	<LOD	1.5	<LOD	1.5	86815.79	2167.36	1145.61	250.25	324984.63	2467.34	902.5	47.59	<LOD	6220.12	<LOD	0	164081.84	0	695467.13	0	2623.44	0	35824.57	0	8258.82	0	6571.02	0	611.53	0	58133.66	0				
26	26	10/10/2019 16:04	TestAll Geo	181.11	ppm	2	Final	-3mm 									14.9	1.91	377.13	4.04	101.6	2.19	19.52	3.88	79.88	1.64	42.18	3	50.35	4.1	<LOD	4.95	3.69	1.82	105.3	4.74	9.01	5.2	43.13	5.7	374.16	26.39	298.37	13.68	79.85	16.24	<LOD	64.52	40624.46	348.62	492.3	36.1	30.29	7.04	103.49	16.07	4024.9	57.76	22.26	14.16	6155.51	95.5	30141.32	780.8	2327.95	85.23	429.51	73.45	258.33	51.19	207.27	41.95	181.74	40.49	370.75	31.52	<LOD	12.37	<LOD	12.15	<LOD	6.93	<LOD	3.15	<LOD	20.84	504169.69	1491.39	12.26	1.29	2.45	1	17.92	8.28	<LOD	1.5	<LOD	1.5	<LOD	1.5	84865.11	1957.36	1156.79	242.74	322723.47	2532.87	855.67	45.76	<LOD	4392	<LOD	0	160395.06	0	690628.25	0	2649.06	0	36470.99	0	8617.72	0	6721.58	0	635.06	0	58092.98	0				
